collection_num,longitude,latitude,date_collected,id,species,state,locality,source,jar_num,county,connor_notes,lab,alt_m,notes
33697,-49.65375,-27.83306667,NA,dis_64,distincta,SC,Poça atrás da casa do Marcelo,celio,16567,Santa Lídia,NA,NA,NA,NA
33698,-49.65375,-27.83306667,NA,dis_65,distincta,SC,Poça atrás da casa do Marcelo,celio,16568,Santa Lídia,NA,NA,NA,NA
33699,-49.65375,-27.83306667,NA,dis_66,distincta,SC,Poça atrás da casa do Marcelo,celio,16569,Santa Lídia,NA,NA,NA,NA
33700,-49.65375,-27.83306667,NA,dis_67,distincta,SC,Poça atrás da casa do Marcelo,celio,16570,Santa Lídia,NA,NA,NA,NA
NA,-49.33055556,-27.36047222,NA,dis_68,distincta,SC,NA,celio,13525,Vidal Ramos,NA,NA,NA,NA
27561,-49.45014,-28.48996,NA,dis_69,distincta,SC,"Eucaliptal com poça, próximo a capela da Nossa Senhora do Campo",celio,13217,Treviso,NA,NA,NA,NA
27562,-49.45014,-28.48996,NA,dis_70,distincta,SC,"Eucaliptal com poça, próximo a capela da Nossa Senhora do Campo",celio,13218,Treviso,NA,NA,NA,NA
27563,-49.45014,-28.48996,NA,dis_71,distincta,SC,"Eucaliptal com poça, próximo a capela da Nossa Senhora do Campo",celio,13219,Treviso,NA,NA,NA,NA
33731,-49.89993333,-28.188,NA,dis_72,distincta,SC,Estrada de terra entre São Martinho e Imbituba,celio,16601,São Martinho,NA,NA,NA,NA
33701,-50.65375,-28.83306667,NA,dis_74,distincta,SC,Poça atrás da casa do Marcelo,celio,16571,Santa Lídia,NA,NA,NA,NA
27556,-49.89283,-29.38063,NA,dis_75,distincta,RS,"Estrada entre Dom Pedro de Alcântara e Três Quedas, Sítio do seu Valderi, próximo do Rio das Pacas",celio,13212,Dom Pedro de Alcântara,NA,NA,NA,NA
27557,-49.89283,-29.38063,NA,dis_76,distincta,RS,"Estrada entre Dom Pedro de Alcântara e Três Quedas, Sítio do seu Valderi, próximo do Rio das Pacas",celio,13213,Dom Pedro de Alcântara,NA,NA,NA,NA
27558,-49.89283,-29.38063,NA,dis_77,distincta,RS,"Estrada entre Dom Pedro de Alcântara e Três Quedas, Sítio do seu Valderi, próximo do Rio das Pacas",celio,13214,Dom Pedro de Alcântara,NA,NA,NA,NA
27559,-49.89283,-29.38063,NA,dis_78,distincta,RS,"Estrada entre Dom Pedro de Alcântara e Três Quedas, Sítio do seu Valderi, próximo do Rio das Pacas",celio,13215,Dom Pedro de Alcântara,NA,NA,NA,NA
NA,-49.89283,-29.38063,NA,dis_79,distincta,RS,"Estrada entre Dom Pedro de Alcântara e Três Quedas, Sítio do seu Valderi, próximo do Rio das Pacas",celio,13221,Dom Pedro de Alcântara,NA,NA,NA,NA
36254,-48.410055560000004,-24.22313889,NA,dis_83,distincta,SP,Proximidades da Fazenda Intermontes,celio,21867,Ribeirão Grande,NA,NA,NA,NA
36255,-48.410055560000004,-24.22313889,NA,dis_84,distincta,SP,Proximidades da Fazenda Intermontes,celio,21868,Ribeirão Grande,NA,NA,NA,NA
36256,-48.410055560000004,-24.22313889,NA,dis_85,distincta,SP,Proximidades da Fazenda Intermontes,celio,21869,Ribeirão Grande,NA,NA,NA,NA
36258,-48.410055560000004,-24.22313889,NA,dis_86,distincta,SP,Proximidades da Fazenda Intermontes,celio,21871,Ribeirão Grande,NA,NA,NA,NA
36259,-48.410055560000004,-24.22313889,NA,dis_87,distincta,SP,Proximidades da Fazenda Intermontes,celio,21872,Ribeirão Grande,NA,NA,NA,NA
36244,-48.42955556,-24.19869444,NA,dis_88,distincta,SP,Fazenda Intermontes,celio,21857,Ribeirão Grande,NA,NA,NA,NA
36245,-48.42955556,-24.19869444,NA,dis_89,distincta,SP,Fazenda Intermontes,celio,21858,Ribeirão Grande,NA,NA,NA,NA
36246,-48.42955556,-24.19869444,NA,dis_90,distincta,SP,Fazenda Intermontes,celio,21859,Ribeirão Grande,NA,NA,NA,NA
36248,-48.42955556,-24.19869444,NA,dis_91,distincta,SP,Fazenda Intermontes,celio,21861,Ribeirão Grande,NA,NA,NA,NA
36249,-48.42955556,-24.19869444,NA,dis_92,distincta,SP,Fazenda Intermontes,celio,21862,Ribeirão Grande,NA,NA,NA,NA
36257,-48.42955556,-24.19869444,NA,dis_93,distincta,SP,Proximidades da Fazenda Intermontes,celio,21870,Ribeirão Grande,NA,NA,NA,NA
94,-48.5747,-25.8828,NA,dis_94,distincta,PR,NA,tuliana_request,NA,Guaratuba,NA,31,15,NA
120,-48.5747,-25.8828,NA,dis_95,distincta,PR,NA,tuliana_request,NA,Guaratuba,NA,32,15,NA
151,-48.5747,-25.8828,NA,dis_96,distincta,PR,NA,tuliana_request,NA,Guaratuba,NA,33,15,NA
839,-48.74308,-24.35861,NA,dis_97,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,34,910,NA
844,-48.74308,-24.35861,NA,dis_98,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,35,910,NA
1127,-48.74308,-24.35861,NA,dis_99,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,36,910,NA
1525,-48.74308,-24.35861,NA,dis_100,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,37,910,NA
1526,-48.74308,-24.35861,NA,dis_101,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,38,910,NA
1527,-48.74308,-24.35861,NA,dis_102,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,39,910,NA
1528,-48.74308,-24.35861,NA,dis_103,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,40,910,NA
1529,-48.74308,-24.35861,NA,dis_104,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,41,910,NA
1530,-48.74308,-24.35861,NA,dis_105,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,42,910,NA
1531,-48.74308,-24.35861,NA,dis_106,distincta,SP,NA,tuliana_request,NA,Ribeirão Branco,NA,43,910,NA
1605,-47.7164,-23.8131,NA,dis_107,distincta,SP,NA,tuliana_request,NA,Pilar do Sul,NA,47,689 ,NA
2407,-49.4575,-28.5156,NA,dis_108,distincta,SC,NA,tuliana_request,NA,Treviso,NA,48,147 ,NA
3018,-49.3786,-26.2503,NA,dis_109,distincta,SC,NA,tuliana_request,NA,São Bento do Sul,NA,49,838 ,NA
3022,-48.69186,-26.72425,NA,dis_110,distincta,SC,NA,tuliana_request,NA,Barra Velha,NA,50,NA,NA
3023,-48.69186,-26.72425,NA,dis_111,distincta,SC,NA,tuliana_request,NA,Barra Velha,NA,51,NA,NA
3024,-48.69186,-26.72425,NA,dis_112,distincta,SC,NA,tuliana_request,NA,Barra Velha,NA,52,NA,NA
3031,-48.69186,-26.72425,NA,dis_113,distincta,SC,NA,tuliana_request,NA,Barra Velha,NA,53,NA,NA
3090,-48.7119,-25.4286,NA,dis_114,distincta,PR,NA,tuliana_request,NA,Antonina,NA,54,20 ,NA
CFBH,-48.7119,-25.4286,NA,dis_115,distincta,PR,NA,tuliana_request,NA,Antonina,NA,55,20 ,NA
3933,-49.2431,-26.4253,NA,dis_116,distincta,SC,NA,tuliana_request,NA,Corupá,NA,56,75 ,NA
3936,-49.2431,-26.4253,NA,dis_117,distincta,SC,NA,tuliana_request,NA,Corupá,NA,57,75 ,NA
3937,-49.2431,-26.4253,NA,dis_118,distincta,SC,NA,tuliana_request,NA,Corupá,NA,58,75 ,NA
5201,-47.881100000000004,-24.715,NA,dis_119,distincta,SP,NA,tuliana_request,NA,Pariquera-Açu,NA,119,39,NA
3291,-49.46888,-28.46893,NA,dis_120,distincta,SC,NA,tuliana_request,NA,Treviso,NA,120,NA,NA
3292,-49.46888,-28.46893,NA,dis_121,distincta,SC,NA,tuliana_request,NA,Treviso,NA,121,NA,NA
3293,-49.45819,-28.49187,NA,dis_122,distincta,SC,NA,tuliana_request,NA,Treviso,NA,122,NA,NA
3294,-49.45819,-28.49187,NA,dis_123,distincta,SC,NA,tuliana_request,NA,Treviso,NA,123,NA,NA
MT/USP,-47.5553,-24.7081,NA,dis_124,distincta,SP,NA,tuliana_request,NA,Iguape,NA,126,3 ,NA
MT/USP,-47.5553,-24.7081,NA,dis_125,distincta,SP,NA,tuliana_request,NA,Iguape,NA,127,3 ,NA
MT/USP,-47.5553,-24.7081,NA,dis_126,distincta,SP,NA,tuliana_request,NA,Iguape,NA,129,3 ,NA
MT/USP,-47.5553,-24.7081,NA,dis_127,distincta,SP,NA,tuliana_request,NA,Iguape,NA,130,3 ,NA
MT/USP,-47.5553,-24.7081,NA,dis_128,distincta,SP,NA,tuliana_request,NA,Iguape,NA,131,3 ,NA
MT/USP,-47.5553,-24.7081,NA,dis_129,distincta,SP,NA,tuliana_request,NA,Iguape,NA,132,3 ,NA
MT/USP,-47.5553,-24.7081,NA,dis_130,distincta,SP,NA,tuliana_request,NA,Iguape,NA,133,3 ,NA
MT/USP,-47.5553,-24.7081,NA,dis_131,distincta,SP,NA,tuliana_request,NA,Iguape,NA,134,3 ,NA
MT/USP,-50.7411,-23.7275,NA,dis_132,distincta,PR,NA,tuliana_request,NA,São Geronimo da Serra,NA,137,976 ,NA
MT/USP,-50.7411,-23.7275,NA,dis_133,distincta,PR,NA,tuliana_request,NA,São Geronimo da Serra,NA,138,976 ,NA
MT/USP,-50.7411,-23.7275,NA,dis_134,distincta,PR,NA,tuliana_request,NA,São Geronimo da Serra,NA,139,976 ,NA
2658,-48.6126,-25.903,NA,dis_135,distincta,PR,NA,tuliana_request,NA,Guaratiba,NA,224,NA,NA
17673,-46.6991,-23.9787,NA,dis_136,distincta,SP,NA,tuliana_request,NA,São Paulo,NA,232,NA,NA
24248,-48.42333,-24.195,NA,dis_137,distincta,SP,NA,tuliana_request,NA,Ribeirão Grande,NA,244,NA,NA
ATM 0003,-48.42333,-24.195,NA,dis_138,distincta,SP,NA,tuliana_request,NA,Ribeirão Grande,NA,294,NA,NA
ATM 0004,-48.42333,-24.195,NA,dis_139,distincta,SP,NA,tuliana_request,NA,Ribeirão Grande,NA,295,NA,NA
CMF19_017,-49.01936,-24.83742,2019-12-16T00:00:00Z,CMF19_017,distincta,NA,ribeira-1,connor_field,NA,NA,NA,NA,NA,"Vegetation overhanging ditch on the side of the road. Was raining, thunderstorms interspersed with light showers all day. Light showers at the time. No other frog species calling at location. 4 male P. distincta, 1 female P. distincta collected. Phone photos did not retain coordinates. I georeferenced from Google Timeline to within 0.5 km of the collection point. Car got stuck near the site. 21 Celsius."
